username,comment,date,like_count
@RyuBiyantri,Keren sih mpl kali ini buat RRQ...,1 month ago,0
@GilangBlitar,The real come back,1 month ago,1
@flka9856,"di game 1 ini onic lepas ling karena mereka liat ling ujin di game sebelumnya rada oleng, tapi tanpa mereka sadari di live skylar sutsujin spam ling wkwk",1 month ago,0
@srirohani7739,terus berusa saja usaha tidak pernah menghianati hasil tetap semangat ONIC,1 month ago,0
@puyollslank7733,"Gilla ini,,game terseru aslii,,mantaapp rrq,,ttep selow kalem kuasai keadaan",1 month ago,1
@Zayyan_24,"Sutsujin licin bgt , makasih ya evos",1 month ago,1
@enyrohmia1632,"Disini kairo terus dijaga, sedangkan sutsujin terbang bebas gilaaa sih sutsujin",1 month ago,0
@FerildaAmaira,Kelihatan banget cw kalah mekanik jauh dr Skylar. Jd ngandelik kairi doang. Klo rrq ada pelapis nya Skylar sumber damage nya,1 month ago,0
@Santaibro17,Match paling seru sejauh ini,1 month ago,1
@andyirsyad987,Ling.nya ada dimana mana,23 hours ago,0
@hendrakobayashie6034,"sudah lah.. akui saja, masa kejayaan onic sudah habis, sekarang masa kejayaan kingdom.. kami titip M6 ke RRQ, bawa pulang kembali piala kita king",1 month ago,0
@Ajie321,"klu patch dulu ok pakek lunox, seblom direvamp pas skill msh 2 cahaya atau gelap msh ok jg dengan land of down sekarang ada item lampu senjata zhuxin jg, lah kan terakhir di adjust nerf atributnya gtu kok msh dipakek lunoxnya, kwkwkw gmn si nocnoc ngedrafnya, ada ruby ada valentina , mending harit nerfnya gk keterlaluan. nocnoc gmn si.",1 month ago,0
@satriopurnomo5704,terimakasih untuk game grand final ini.,1 month ago,0
@fajaralcantara3353,"Power ruby idok ngeri sih moment akhir kairul smpe gk bisa retri lord karna ke tarik lalu d putarlord d ambil dyren, jdi retrinya ke hero karna ter delay ruby",1 month ago,0
@YatanoDiyaba,Ih suka bgt liat skylar usap usap kepala member2 nyaaa,2 weeks ago,0
@takumiae8679,Itu coach khezcute dari dota2 ka?? Team boom id dulu??,1 month ago,0
@Maruf_Mahudi,"Sumpah game keren ini, GG RRQ,  GG kariri dan sutsujin",1 month ago,0
@dhellamaya8289,Satu satunya match yang gue ulang terus.,1 month ago,0
@fahmiyusuf8006,makasih sutsujin karna gak buat gw kecewa dan tim RRQ,9 days ago,0
@xpdky,GILAAAAA BEST MATCH SEASON INI!,1 month ago,0
@NagaswaraHago,"Rezzz gaguna sumpah last moment yg bener² maksa, gua pantau ini anak cuman jadi tumbal buta di FNOC",1 month ago,0
@OghelCemonk,sampai nangis gua liat permainan rrq season14 ini,1 month ago,1
@AlexanderPLegesang-b2t,0:35 0:36 0:37 0:38 0:39 0:40 0:41 0:42 0:43,2 weeks ago,0
@nurulafida7500,Kairi Dikasih tutor sutsujin maen roger objektif bukan cuma mukil,1 month ago,0
@xpdky,dyrenn gw liat2 kenapa hemattttt bgt ultinya yah? bahkan baru pakai pas nyawanya setipis tisue,1 month ago,0
@reangg9703,Era kairi is over. Keciduk mulu di lord sm ke shutdown di momen penting. Terlalu ofside kairi. Skrg harusnya fokus ke albert yang onfire.,1 month ago,0
@muh.syahrilangmaulana7508,Jing keren bnget cook... Serasa nonton semifinal ini mah...,1 month ago,0
@HeriyantoSetiawan-x1r,Fanatic onic,14 hours ago,1
@Gilang-mt8ly,Buset ni match ter epic ter gila ter keren di mpl season sekarang ,1 month ago,0
@OghelCemonk,tetap rispek dan jangan langsung besar kepala tetap konsisten rrq selamanya,1 month ago,0
@Nurfadilah-p5e,mantap,3 weeks ago,1
@AhmadSijaya-fz9de,"ending skylar sangat tajam banget jir , duet bantai"" Ama sutsujin epik sihh",1 month ago,0
@NewHNDKA,"Kayanya kairi pengen bales savage ujin kmaren, ada momen harusnya lord tp dia maju trus sampe akhirnya mati ",1 month ago,0
@Muh.khalif990,"Rezz membuat kesalahan fatal di 31:26 , ini yg membuat onic ter wipe out",1 month ago,0
@egikharismaputra9189,Respect 2 tim the best,1 month ago,0
@_lonely.,Jujur kalau dilihat-lihat cw kayak underperforming. Enggak kayak pas dia make Claude yg biasanya menang di gold lane. Semoga bisa reset lgi sih dan bangkit ,1 month ago,0
@andirahmat6161,Gak bisa move on dari game ini. Epic comeback,1 month ago,0
@Uuuyazid,GILA PAK PULUNG NAFAS GAK HABIS2 16:43  21:58  SUTSUJIN KENPE GAK RETRI YA APA DIA TEGANG,1 month ago (edited),0
@angkiblackdemon,Mau RRQ atau ONIQ semangat musuh kita sebenernya masih menunggu di LUAR INDONESIA..,1 month ago,0
@AndikIbrahim,Kerennnnnnn.ini game play.terbaik,1 month ago,0
@sukmawanda5852,Match terbaik sampe gak bosen liatnya,1 month ago,0
@faishalhanin353,"Sutsujin habis game: ""gilak pegel banget main ling lompat² swgitu lama""",1 month ago,0
@rezaduluki8594,match yang sangatt menyalaaa,1 month ago,0
@radenmahendra1393,mnrut gw ini match terseru sih,1 month ago,2
@Syndro0mes,Serasa final cuyyy... Gg semua...,1 month ago,0
@Yelannnn_mywife,Match terbaik di mpl saat ini ,1 month ago,0
@sriatika6397,"game pertama yg sangat"" berkelas ",1 month ago,0
@fauzi-yj5vd,"Wkwkwkwkw CW main lunox kek main fighter, tank. 

Sakit perut gua",3 weeks ago,0
@fieofficial3396,"Seru bgt sih beda onic vcs rrq sama"" jago",1 month ago,0
@feripujiyanto8015,"Kelas bgt ini war-war nya Gilak seru parah, Ling si sutsujun licin abis.",1 month ago,0
@fadhilfauzi5402,"gini dong jir wkwk
match seru dua2 nya jago gilak",1 month ago,0
@Martell174,Gila seru parah ni match,2 weeks ago,0
@RizalAf-p4l,Sakit kuping gw dengerin pak pulung ngomong belibet bnget njir wkwkwk,1 month ago,1
@alfharuq24,Ketika ada tim yg lebih kuat atas ONIC berasa banget kalau ONIC selama ini digendong PH cuma bocil konoha malu mau ngakuin.,1 month ago,0
@AgusSetiawan-ty8ll,kairi bisa escape kaya sutsujin gak? 20:51,1 month ago,0
@ikana3574,"26:00 kiboy pdhl msh bisa slmt tp mlh ulti di arah situ, panik keknya jd asal pencet, trus sanz juga ga balik mlh nyerang",1 month ago,0
@rahmatefendi9929,match gila respect respect kedua tim,1 month ago,0
@nandamekazehaya1177,Giiiilllllaaaaa sich game nya... Seru banget,1 month ago,2
@FajarMuhamad-it7xm,Sutsujin gila bgt si Cok Ling nya,1 month ago,2
@rekodara05,Mnit trkhir pas liat depend si sanz asli kocak..kirain kdepan bisa buat moment ternyata ngasih kil gratis,1 month ago,2
@anfafauzi7749,kelasss top match mpl skarang sih ini,1 month ago,0
@Donker-s5e,"Skylerre tuh turunan gua kalau dh main MM
Segala jenis MM kalau gua dh merasuki nya gila sudah main nya",1 month ago,0
@LươngTháiKim,GA RU DA HO KI꧂Berbagi50K,1 month ago,410
@damara_t2m861,game pertama yang sangat menegangkan ,1 month ago,0
@HeriSaja-ot3lm,"Ini Match adu skill.. Bukan adu blunder kayak team papan bawahngeri nontonnya ini,, 
Kemarin aku nonton rrq lawan evos ling sutsujin nampak biasa gt, eeehhhhhhh ternyata pas lawan onic skillnya Ling sutsujin di kluarin di depan kairi
Saya yakin pas lawan evos sutsujin sengaja main ling biasa aja, agar tak di rispek oleh ONIC.. Eh taunya ngerii kaliiiii ahh",1 month ago,0
@sodiqinsodiqin8321,kami emang gak maniac cukup duble kill tapi kami tahu caranya bagaimana menyelesaikan permainan buat menang kelazz,1 month ago,0
@rasOrLLbz,Ini RRQ yg paten barbar....,1 month ago,0
@khirinpamungkas2175,Tren positif RRQ berlanjut,1 month ago,0
@RudiRi-pz6ej,Sumpah baru kaki ini mpl bikin gua wow,1 month ago,0
